home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Brazil,Chile,1,,3,1,,2,Luiz Felipe Scolari,,Jorge Sampaoli,,57714,"Estádio Governador Magalhães Pinto, Belo Horizonte",Howard Webb (Referee) · Michael Mullarkey (AR1) · Darren Cann (AR2) · Felix Brych (4th),Round of 16,2014-06-28,(3) 1–1 (2),Howard Webb,Brazil won on penalty kicks following extra time,Brazil,2014,David Luiz · 18,Alexis Sánchez · 32,['18&rsquor;|1:0|David Luiz|Assist:|Thiago Silva'],['32&rsquor;|1:1|Alexis Sánchez|Assist:|Eduardo Vargas'],,,,,,,"['1|1:0|David Luiz', '5|2:0|Marcelo', '9|3:2|Neymar']","['6|2:1|Charles Aránguiz', '8|2:2|Marcelo Díaz']","['3|1:0|Willian', '7|2:1|Hulk']","['2|1:0|Mauricio Pinilla', '4|1:0|Alexis Sánchez', '10|3:2|Gonzalo Jara']",,,,,"['55&rsquor;|1:1|Hulk', '60&rsquor;|1:1|Luiz Gustavo', '94&rsquor;|1:1|Jô', '105+1&rsquor;|1:1|Dani Alves']","['17&rsquor;|0:0|Eugenio Mena', '40&rsquor;|1:1|Francisco Silva', '102&rsquor;|1:1|Mauricio Pinilla']","['66&rsquor;|1:1|Jô|for Fred', '72&rsquor;|1:1|Ramires|for Fernandinho', '106&rsquor;|1:1|Willian|for Oscar']","['57&rsquor;|1:1|Felipe Gutiérrez|for Eduardo Vargas', '87&rsquor;|1:1|Mauricio Pinilla|for Arturo Vidal', '108&rsquor;|1:1|José Rojas|for Gary Medel']"
Colombia,Uruguay,2,,,0,,,José Pekerman,,Óscar Tabárez,,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Svein Oddvar Moen (4th),Round of 16,2014-06-28,2–0,Björn Kuipers,,Brazil,2014,James Rodríguez · 29|James Rodríguez · 50,,"['29&rsquor;|1:0|James Rodríguez|Assist:|Abel Aguilar', '50&rsquor;|2:0|James Rodríguez|Assist:|Juan Cuadrado']",,,,,,,,,,,,,,,,['78&rsquor;|2:0|Pablo Armero'],"['55&rsquor;|2:0|José María Giménez', '77&rsquor;|2:0|Diego Lugano', '90+2&rsquor;|2:0|Diego Godín']","['68&rsquor;|2:0|Alexander Mejía|for Teófilo Gutiérrez', '81&rsquor;|2:0|Fredy Guarín|for Juan Cuadrado', '85&rsquor;|2:0|Adrián Ramos|for James Rodríguez']","['53&rsquor;|2:0|Cristhian Stuani|for Diego Forlán', '53&rsquor;|2:0|Gastón Ramírez|for Álvaro Pereira', '67&rsquor;|2:0|Abel Hernández|for Álvaro González']"
United States,Germany,0,,,1,,,Jürgen Klinsmann,,Joachim Löw,,41876,"Itaipava Arena Pernambuco, Recife",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th),Group stage,2014-06-26,0–1,Ravshan Irmatov,,Brazil,2014,,Thomas Müller · 55,,['55&rsquor;|0:1|Thomas Müller'],,,,,,,,,,,,,,,"['37&rsquor;|0:0|Omar Gonzalez', '62&rsquor;|0:1|Kyle Beckerman']",['11&rsquor;|0:0|Benedikt Höwedes'],"['59&rsquor;|0:1|Alejandro Bedoya|for Brad Davis', '84&rsquor;|0:1|DeAndre Yedlin|for Graham Zusi']","['46&rsquor;|0:0|Miroslav Klose|for Lukas Podolski', '76&rsquor;|0:1|Mario Götze|for Bastian Schweinsteiger', '89&rsquor;|0:1|André Schürrle|for Mesut Özil']"
Portugal,Ghana,2,,,1,,,Paulo Bento,,Kwesi Appiah,,67540,"Estádio Nacional de Brasília, Brasília",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Wilmar Roldán (4th),Group stage,2014-06-26,2–1,Nawaf Shukralla,,Brazil,2014,Cristiano Ronaldo · 80,Asamoah Gyan · 57,['80&rsquor;|2:1|Cristiano Ronaldo'],['57&rsquor;|1:1|Asamoah Gyan|Assist:|Kwadwo Asamoah'],John Boye (OG) · 31,,,,,,,,,,,,,,['90+4&rsquor;|2:1|João Moutinho'],"['39&rsquor;|1:0|Harrison Afful', '55&rsquor;|1:0|Abdul Majeed Waris', '78&rsquor;|1:1|Jordan Ayew']","['61&rsquor;|1:1|Silvestre Varela|for João Pereira', '69&rsquor;|1:1|Vieirinha|for Éder', '89&rsquor;|2:1|Eduardo Carvalho|for Beto']","['71&rsquor;|1:1|Jordan Ayew|for Abdul Majeed Waris', '76&rsquor;|1:1|Afriyie Acquah|for Mohammed Rabiu', '82&rsquor;|2:1|Wakaso|for André Ayew']"
Korea Republic,Belgium,0,,,1,,,Hong Myung-bo,,Marc Wilmots,,61397,"Arena Corinthians, São Paulo",Benjamin Williams (Referee) · Matthew Cream (AR1) · Hakan Anaz (AR2) · Víctor Carrillo (4th),Group stage,2014-06-26,0–1,Benjamin Williams,,Brazil,2014,,Jan Vertonghen · 77,,['77&rsquor;|0:1|Jan Vertonghen'],,,,,,,,,,,,Steven Defour · 44,,,['35&rsquor;|0:0|Hong Jeong-ho'],['50&rsquor;|0:0|Mousa Dembélé'],"['46&rsquor;|0:0|Lee Keun-ho|for Han Kook-young', '66&rsquor;|0:0|Kim Bo-kyung|for Kim Shin-wook', '73&rsquor;|0:0|Ji Dong-won|for Son Heung-min']","['60&rsquor;|0:0|Divock Origi|for Dries Mertens', '60&rsquor;|0:0|Nacer Chadli|for Adnan Januzaj', '88&rsquor;|0:1|Eden Hazard|for Kevin Mirallas']"
Algeria,Russia,1,,,1,,,Vahid Halilhodžić,,Fabio Capello,,39311,"Estádio Joaquim Américo Guimarães, Curitiba",Cüneyt Çakιr (Referee) · Bahattin Duran (AR1) · Tarık Ongun (AR2) · Joel Aguilar (4th),Group stage,2014-06-26,1–1,Cüneyt Çakιr,,Brazil,2014,Islam Slimani · 60,Aleksandr Kokorin · 6,['60&rsquor;|1:1|Islam Slimani|Assist:|Yacine Brahimi'],['6&rsquor;|0:1|Aleksandr Kokorin|Assist:|Dmitri Kombarov'],,,,,,,,,,,,,,,"['39&rsquor;|0:1|Djamel Mesbah', '87&rsquor;|1:1|Nabil Ghilas', '90+2&rsquor;|1:1|Liassine Cadamuro']","['57&rsquor;|0:1|Dmitri Kombarov', '59&rsquor;|0:1|Aleksei Anatolyevich Kozlov']","['71&rsquor;|1:1|Hassan Yebda|for Yacine Brahimi', '77&rsquor;|1:1|Nabil Ghilas|for Abdelmoumene Djabou', '90&rsquor;|1:1|Hillel Soudani|for Islam Slimani']","['46&rsquor;|0:1|Igor Denisov|for Denis Glushakov', '67&rsquor;|1:1|Alan Dzagoev|for Oleg Shatov', '81&rsquor;|1:1|Maksim Kanunnikov|for Aleksandr Kerzhakov']"
Bosnia and Herzegovina,IR Iran,3,,,1,,,Safet Sušić,,Carlos Queiroz,,48011,"Itaipava Arena Fonte Nova, Salvador",Carlos Velasco (Referee) · Roberto Alonso (AR1) · Juan Carlos Yuste (AR2) · Enrique Osses (4th),Group stage,2014-06-25,3–1,Carlos Velasco,,Brazil,2014,Edin Džeko · 23|Miralem Pjanić · 59|Avdija Vršajević · 83,Reza Ghoochannejad · 82,"['23&rsquor;|1:0|Edin Džeko', '59&rsquor;|2:0|Miralem Pjanić|Assist:|Toni Šunjić', '83&rsquor;|3:1|Avdija Vršajević']",['82&rsquor;|2:1|Reza Ghoochannejad|Assist:|Javad Nekounam'],,,,,,,,,,,,,,,['77&rsquor;|2:0|Muhamed Bešić'],['88&rsquor;|3:1|Karim Ansarifard'],"['61&rsquor;|2:0|Ognjen Vranješ|for Anel Hadžić', '79&rsquor;|2:0|Sejad Salihović|for Tino-Sven Sušić', '84&rsquor;|3:1|Edin Višća|for Edin Džeko']","['46&rsquor;|1:0|Khosro Heydari|for Masoud Shojaei', '63&rsquor;|2:0|Alireza Jahanbakhsh|for Ehsan Hajsafi', '68&rsquor;|2:0|Karim Ansarifard|for Ashkan Dejagah']"
Nigeria,Argentina,2,,,3,,,Stephen Keshi,,Alejandro Sabella,,43285,"Estádio José Pinheiro Borba, Porto Alegre",Nicola Rizzoli (Referee) · Renato Faverani (AR1) · Andrea Stefani (AR2) · Svein Oddvar Moen (4th),Group stage,2014-06-25,2–3,Nicola Rizzoli,,Brazil,2014,Ahmed Musa · 4|Ahmed Musa · 47,Lionel Messi · 3|Lionel Messi · 45+1|Marcos Rojo · 50,"['4&rsquor;|1:1|Ahmed Musa|Assist:|Michael Babatunde', '47&rsquor;|2:2|Ahmed Musa|Assist:|Emmanuel Emenike']","['3&rsquor;|0:1|Lionel Messi', '45+1&rsquor;|1:2|Lionel Messi', '50&rsquor;|2:3|Marcos Rojo|Assist:|Ezequiel Lavezzi']",,,,,,,,,,,,,,,"['49&rsquor;|2:2|Kenneth Omeruo', '51&rsquor;|2:3|Juwon Oshaniwa']",,"['66&rsquor;|2:3|Michael Uchebo|for Michael Babatunde', '80&rsquor;|2:3|Uche Nwofor|for Peter Odemwingie']","['38&rsquor;|1:1|Ezequiel Lavezzi|for Sergio Agüero', '63&rsquor;|2:3|Ricky Álvarez|for Lionel Messi', '90&rsquor;|2:3|Lucas Biglia|for Gonzalo Higuaín']"
Honduras,Switzerland,0,,,3,,,Luis Suárez,,Ottmar Hitzfeld,,40322,"Arena da Amazônia, Manaus",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Milorad Mažić (4th),Group stage,2014-06-25,0–3,Néstor Pitana,,Brazil,2014,,Xherdan Shaqiri · 6|Xherdan Shaqiri · 31|Xherdan Shaqiri · 71,,"['6&rsquor;|0:1|Xherdan Shaqiri|Assist:|Stephan Lichtsteiner', '31&rsquor;|0:2|Xherdan Shaqiri|Assist:|Josip Drmić', '71&rsquor;|0:3|Xherdan Shaqiri|Assist:|Josip Drmić']",,,,,,,,,,,,,,,['66&rsquor;|0:2|Jerry Palacios'],,"['40&rsquor;|0:2|Jerry Palacios|for Carlo Costly', '46&rsquor;|0:2|Marvin Chávez|for Roger Espinoza', '77&rsquor;|0:3|Andy Najar|for Boniek García']","['73&rsquor;|0:3|Haris Seferović|for Josip Drmić', '77&rsquor;|0:3|Michael Lang|for Granit Xhaka', '87&rsquor;|0:3|Blerim Džemaili|for Xherdan Shaqiri']"
Ecuador,France,0,,,0,,,Reinaldo Rueda,,Didier Deschamps,,73749,"Estadio Jornalista Mário Filho, Rio de Janeiro",Noumandiez Doué (Referee) · Songuifolo Yéo (AR1) · Jean-Claude Birumushahu (AR2) · Björn Kuipers (4th),Group stage,2014-06-25,0–0,Noumandiez Doué,,Brazil,2014,,,,,,,,,,,,,,,Antonio Valencia · 50,,,,['83&rsquor;|0:0|Frickson Erazo'],,"['63&rsquor;|0:0|Renato Ibarra|for Jefferson Montero', '82&rsquor;|0:0|Gabriel Achilier|for Michael Arroyo', '90&rsquor;|0:0|Felipe Caicedo|for Christian Noboa']","['61&rsquor;|0:0|Raphaël Varane|for Mamadou Sakho', '67&rsquor;|0:0|Olivier Giroud|for Blaise Matuidi', '79&rsquor;|0:0|Loïc Rémy|for Antoine Griezmann']"
Costa Rica,England,0,,,0,,,Jorge Luis Pinto,,Roy Hodgson,,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte",Djamel Haïmoudi (Referee) · Redouane Achik (AR1) · Abdelhak Etchiali (AR2) · Alireza Faghani (4th),Group stage,2014-06-24,0–0,Djamel Haïmoudi,,Brazil,2014,,,,,,,,,,,,,,,,,,,['60&rsquor;|0:0|Giancarlo González'],"['53&rsquor;|0:0|Ross Barkley', '57&rsquor;|0:0|Adam Lallana']","['59&rsquor;|0:0|Christian Bolaños|for Randall Brenes', '65&rsquor;|0:0|Marco Ureña|for Joel Campbell', '78&rsquor;|0:0|Michael Barrantes|for Celso Borges']","['62&rsquor;|0:0|Raheem Sterling|for Adam Lallana', '73&rsquor;|0:0|Steven Gerrard|for Jack Wilshere', '76&rsquor;|0:0|Wayne Rooney|for James Milner']"
Italy,Uruguay,0,,,1,,,Cesare Prandelli,,Óscar Tabárez,,39706,"Arena das Dunas, Natal",Marco Antonio Rodríguez (Referee) · Marvin Torrentera (AR1) · Marcos Quintero (AR2) · Mark Geiger (4th),Group stage,2014-06-24,0–1,Marco Antonio Rodríguez,,Brazil,2014,,Diego Godín · 81,,['81&rsquor;|0:1|Diego Godín|Assist:|Gastón Ramírez'],,,,,,,,,,,Claudio Marchisio · 59,,,,"['22&rsquor;|0:0|Mario Balotelli', '77&rsquor;|0:0|Mattia De Sciglio']","['46&rsquor;|0:0|Egidio Arévalo', '90+1&rsquor;|0:1|Fernando Muslera']","['46&rsquor;|0:0|Marco Parolo|for Mario Balotelli', '71&rsquor;|0:0|Antonio Cassano|for Ciro Immobile', '75&rsquor;|0:0|Thiago Motta|for Marco Verratti']","['46&rsquor;|0:0|Maxi Pereira|for Nicolás Lodeiro', '63&rsquor;|0:0|Cristhian Stuani|for Álvaro Pereira', '78&rsquor;|0:0|Gastón Ramírez|for Cristian Rodríguez']"
Japan,Colombia,1,,,4,,,Alberto Zaccheroni,,José Pekerman,,40340,"Arena Pantanal, Cuiabá",Pedro Proença (Referee) · Bertino Miranda (AR1) · José Trigo (AR2) · Roberto Moreno (4th),Group stage,2014-06-24,1–4,Pedro Proença,,Brazil,2014,Shinji Okazaki · 45+1,Jackson Martínez · 55|Jackson Martínez · 82|James Rodríguez · 90,['45+1&rsquor;|1:1|Shinji Okazaki|Assist:|Keisuke Honda'],"['55&rsquor;|1:2|Jackson Martínez|Assist:|James Rodríguez', '82&rsquor;|1:3|Jackson Martínez|Assist:|James Rodríguez', '90&rsquor;|1:4|James Rodríguez|Assist:|Adrián Ramos']",,,,Juan Cuadrado (P) · 17,,,,,,,,,,,['16&rsquor;|0:0|Yasuyuki Konno'],['63&rsquor;|1:2|Fredy Guarín'],"['62&rsquor;|1:2|Hotaru Yamaguchi|for Toshihiro Aoyama', '69&rsquor;|1:2|Yoichiro Kakitani|for Shinji Okazaki', '85&rsquor;|1:3|Hiroshi Kiyotake|for Shinji Kagawa']","['46&rsquor;|1:1|Carlos Carbonero|for Juan Cuadrado', '46&rsquor;|1:1|James Rodríguez|for Juan Quintero', '85&rsquor;|1:3|Faryd Mondragón|for David Ospina']"
Greece,Côte d'Ivoire,2,,,1,,,Fernando Santos,,Sabri Lamouchi,,59095,"Estádio Castelão, Fortaleza",Carlos Vera (Referee) · Christian Lescano (AR1) · Byron Romero (AR2) · Sandro Ricci (4th),Group stage,2014-06-24,2–1,Carlos Vera,,Brazil,2014,Andreas Samaris · 42,Wilfried Bony · 74,['42&rsquor;|1:0|Andreas Samaris|Assist:|Georgios Samaras'],['74&rsquor;|1:1|Wilfried Bony|Assist:|Gervinho'],,,Georgios Samaras (P) · 90+3,,,,,,,,,,,,,"['37&rsquor;|0:0|Didier Drogba', '62&rsquor;|1:0|Salomon Kalou', '70&rsquor;|1:0|Serey Die']","['12&rsquor;|0:0|Andreas Samaris|for Panagiotis Kone', '24&rsquor;|0:0|Panagiotis Glykos|for Orestis Karnezis', '78&rsquor;|1:1|Theofanis Gekas|for Giorgos Karagounis']","['61&rsquor;|1:0|Wilfried Bony|for Cheick Tioté', '78&rsquor;|1:1|Ismaël Diomandé|for Didier Drogba', '83&rsquor;|1:1|Giovanni Sio|for Gervinho']"
Australia,Spain,0,,,3,,,Ange Postecoglou,,Del Bosque,,39375,"Estádio Joaquim Américo Guimarães, Curitiba",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Ebrahim Saleh (AR2) · Norbert Hauata (4th),Group stage,2014-06-23,0–3,Nawaf Shukralla,,Brazil,2014,,David Villa · 36|Fernando Torres · 69|Juan Mata · 82,,"['36&rsquor;|0:1|David Villa|Assist:|Juanfran', '69&rsquor;|0:2|Fernando Torres|Assist:|Andrés Iniesta', '82&rsquor;|0:3|Juan Mata|Assist:|Cesc Fàbregas']",,,,,,,,,,,,,,,"['88&rsquor;|0:3|Matthew Spiranovic', '90+2&rsquor;|0:3|Mile Jedinak']",['62&rsquor;|0:1|Sergio Ramos'],"['46&rsquor;|0:1|Ben Halloran|for Adam Taggart', '61&rsquor;|0:1|James Troisi|for Tommy Oar', '72&rsquor;|0:2|Mark Bresciano|for Oliver Bozanic']","['56&rsquor;|0:1|Juan Mata|for David Villa', '68&rsquor;|0:1|Cesc Fàbregas|for Santi Cazorla', '83&rsquor;|0:3|David Silva|for Xabi Alonso']"
Netherlands,Chile,2,,,0,,,Louis van Gaal,,Jorge Sampaoli,,62996,"Arena Corinthians, São Paulo",Bakary Papa Gassama (Referee) · Evarist Menkouande (AR1) · Félicien Kabanda (AR2) · Joel Aguilar (4th),Group stage,2014-06-23,2–0,Bakary Papa Gassama,,Brazil,2014,Leroy Fer · 77|Memphis · 90+2,,"['77&rsquor;|1:0|Leroy Fer|Assist:|Daryl Janmaat', '90+2&rsquor;|2:0|Memphis|Assist:|Arjen Robben']",,,,,,,,,,,,,,,,['64&rsquor;|0:0|Daley Blind'],['25&rsquor;|0:0|Francisco Silva'],"['69&rsquor;|0:0|Memphis|for Jeremain Lens', '75&rsquor;|0:0|Leroy Fer|for Wesley Sneijder', '89&rsquor;|1:0|Terence Kongolo|for Dirk Kuyt']","['46&rsquor;|0:0|Jean Beausejour|for Felipe Gutiérrez', '70&rsquor;|0:0|Jorge Valdivia|for Francisco Silva', '81&rsquor;|1:0|Mauricio Pinilla|for Eduardo Vargas']"
Croatia,Mexico,1,,,3,,,Niko Kovač,,Miguel Herrera,,41212,"Itaipava Arena Pernambuco, Recife",Ravshan Irmatov (Referee) · Abdukhamidullo Rasulov (AR1) · Bahadır Koçkarov (AR2) · Alioum Alioum (4th),Group stage,2014-06-23,1–3,Ravshan Irmatov,,Brazil,2014,Ivan Perišić · 87,Rafael Márquez · 72|Andrés Guardado · 75|Javier Hernández · 82,['87&rsquor;|1:3|Ivan Perišić|Assist:|Ivan Rakitić'],"['72&rsquor;|0:1|Rafael Márquez|Assist:|Héctor Herrera', '75&rsquor;|0:2|Andrés Guardado|Assist:|Oribe Peralta', '82&rsquor;|0:3|Javier Hernández|Assist:|Rafael Márquez']",,,,,,,,,,,Ante Rebić · 89,,,,['9&rsquor;|0:0|Ivan Rakitić'],"['39&rsquor;|0:0|Rafael Márquez', '66&rsquor;|0:0|José Juan Vázquez']","['58&rsquor;|0:0|Mateo Kovačić|for Šime Vrsaljko', '69&rsquor;|0:0|Ante Rebić|for Ivica Olić', '74&rsquor;|0:1|Nikica Jelavić|for Danijel Pranjić']","['62&rsquor;|0:0|Javier Hernández|for Giovani dos Santos', '79&rsquor;|0:2|Carlos Peña|for Oribe Peralta', '84&rsquor;|0:3|Marco Fabián|for Andrés Guardado']"
Cameroon,Brazil,1,,,4,,,Volker Finke,,Luiz Felipe Scolari,,69112,"Estádio Nacional de Brasília, Brasília",Jonas Eriksson (Referee) · Mathias Klasenius (AR1) · Daniel Wärnmark (AR2) · Svein Oddvar Moen (4th),Group stage,2014-06-23,1–4,Jonas Eriksson,,Brazil,2014,Joël Matip · 26,Neymar · 17|Neymar · 35|Fred · 49|Fernandinho · 84,['26&rsquor;|1:1|Joël Matip|Assist:|Allan Nyom'],"['17&rsquor;|0:1|Neymar|Assist:|Luiz Gustavo', '35&rsquor;|1:2|Neymar|Assist:|Marcelo', '49&rsquor;|1:3|Fred|Assist:|David Luiz', '84&rsquor;|1:4|Fernandinho|Assist:|Oscar']",,,,,,,,,,,,,,,"['11&rsquor;|0:0|Eyong Enoh', '75&rsquor;|1:3|Edgar Salli', '80&rsquor;|1:3|Stéphane Mbia']",,"['58&rsquor;|1:3|Edgar Salli|for Benjamin Moukandjo', '72&rsquor;|1:3|Pierre Webó|for Vincent Aboubakar', '81&rsquor;|1:3|Jean Makoun|for Eric Maxim Choupo-Moting']","['46&rsquor;|1:2|Fernandinho|for Paulinho', '63&rsquor;|1:3|Ramires|for Hulk', '71&rsquor;|1:3|Willian|for Neymar']"
Belgium,Russia,1,,,0,,,Marc Wilmots,,Fabio Capello,,73819,"Estadio Jornalista Mário Filho, Rio de Janeiro",Felix Brych (Referee) · Mark Borsch (AR1) · Stefan Lupp (AR2) · Carlos Vera (4th),Group stage,2014-06-22,1–0,Felix Brych,,Brazil,2014,Divock Origi · 88,,['88&rsquor;|1:0|Divock Origi|Assist:|Eden Hazard'],,,,,,,,,,,,,,,,"['54&rsquor;|0:0|Axel Witsel', '73&rsquor;|0:0|Toby Alderweireld']",['38&rsquor;|0:0|Denis Glushakov'],"['31&rsquor;|0:0|Jan Vertonghen|for Thomas Vermaelen', '57&rsquor;|0:0|Divock Origi|for Romelu Lukaku', '75&rsquor;|0:0|Kevin Mirallas|for Dries Mertens']","['62&rsquor;|0:0|Andrey Yeshchenko|for Aleksei Anatolyevich Kozlov', '83&rsquor;|0:0|Alan Dzagoev|for Oleg Shatov', '90&rsquor;|1:0|Aleksandr Kerzhakov|for Aleksandr Samedov']"
Korea Republic,Algeria,2,,,4,,,Hong Myung-bo,,Vahid Halilhodžić,,42732,"Estádio José Pinheiro Borba, Porto Alegre",Wilmar Roldán (Referee) · Eduardo Díaz (AR1) · Christian Lescano (AR2) · Alireza Faghani (4th),Group stage,2014-06-22,2–4,Wilmar Roldán,,Brazil,2014,Son Heung-min · 50|Koo Ja-cheol · 72,Islam Slimani · 26|Rafik Halliche · 28|Abdelmoumene Djabou · 38|Yacine Brahimi · 62,"['50&rsquor;|1:3|Son Heung-min|Assist:|Ki Sung-yueng', '72&rsquor;|2:4|Koo Ja-cheol|Assist:|Lee Keun-ho']","['26&rsquor;|0:1|Islam Slimani|Assist:|Carl Medjani', '28&rsquor;|0:2|Rafik Halliche|Assist:|Abdelmoumene Djabou', '38&rsquor;|0:3|Abdelmoumene Djabou|Assist:|Islam Slimani', '62&rsquor;|1:4|Yacine Brahimi|Assist:|Sofiane Feghouli']",,,,,,,,,,,,,,,"['54&rsquor;|1:3|Lee Yong', '69&rsquor;|1:4|Han Kook-young']",['67&rsquor;|1:4|Madjid Bougherra'],"['57&rsquor;|1:3|Kim Shin-wook|for Park Chu-young', '64&rsquor;|1:4|Lee Keun-ho|for Lee Chung-yong', '78&rsquor;|2:4|Ji Dong-won|for Han Kook-young']","['73&rsquor;|2:4|Nabil Ghilas|for Abdelmoumene Djabou', '77&rsquor;|2:4|Mehdi Lacen|for Yacine Brahimi', '89&rsquor;|2:4|Essaïd Belkalem|for Madjid Bougherra']"
United States,Portugal,2,,,2,,,Jürgen Klinsmann,,Paulo Bento,,40123,"Arena da Amazônia, Manaus",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Walter López (4th),Group stage,2014-06-22,2–2,Néstor Pitana,,Brazil,2014,Jermaine Jones · 64|Clint Dempsey · 81,Nani · 5|Silvestre Varela · 90+5,"['64&rsquor;|1:1|Jermaine Jones', '81&rsquor;|2:1|Clint Dempsey|Assist:|Graham Zusi']","['5&rsquor;|0:1|Nani', '90+5&rsquor;|2:2|Silvestre Varela|Assist:|Cristiano Ronaldo']",,,,,,,,,,,,,,,['75&rsquor;|1:1|Jermaine Jones'],,"['72&rsquor;|1:1|DeAndre Yedlin|for Alejandro Bedoya', '87&rsquor;|2:1|Chris Wondolowski|for Clint Dempsey', '90+1&rsquor;|2:1|Omar Gonzalez|for Graham Zusi']","['16&rsquor;|0:1|Éder|for Hélder Postiga', '46&rsquor;|0:1|William Carvalho|for André Almeida', '70&rsquor;|1:1|Silvestre Varela|for Raul Meireles']"
Argentina,IR Iran,1,,,0,,,Alejandro Sabella,,Carlos Queiroz,,57698,"Estádio Governador Magalhães Pinto, Belo Horizonte",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Norbert Hauata (4th),Group stage,2014-06-21,1–0,Milorad Mažić,,Brazil,2014,Lionel Messi · 90+1,,['90+1&rsquor;|1:0|Lionel Messi'],,,,,,,,,,,,,,,,,"['53&rsquor;|0:0|Javad Nekounam', '73&rsquor;|0:0|Masoud Shojaei']","['77&rsquor;|0:0|Ezequiel Lavezzi|for Sergio Agüero', '77&rsquor;|0:0|Rodrigo Palacio|for Gonzalo Higuaín', '90&rsquor;|0:0|Lucas Biglia|for Ángel Di María']","['76&rsquor;|0:0|Khosro Heydari|for Masoud Shojaei', '85&rsquor;|0:0|Alireza Jahanbakhsh|for Ashkan Dejagah', '88&rsquor;|0:0|Reza Haghighi|for Ehsan Hajsafi']"
Germany,Ghana,2,,,2,,,Joachim Löw,,Kwesi Appiah,,59621,"Estádio Castelão, Fortaleza",Sandro Ricci (Referee) · Emerson de Carvalho (AR1) · Marcelo Van Gasse (AR2) · Víctor Carrillo (4th),Group stage,2014-06-21,2–2,Sandro Ricci,,Brazil,2014,Mario Götze · 51|Miroslav Klose · 71,André Ayew · 54|Asamoah Gyan · 63,"['51&rsquor;|1:0|Mario Götze|Assist:|Thomas Müller', '71&rsquor;|2:2|Miroslav Klose|Assist:|Benedikt Höwedes']","['54&rsquor;|1:1|André Ayew|Assist:|Harrison Afful', '63&rsquor;|1:2|Asamoah Gyan|Assist:|Sulley Muntari']",,,,,,,,,,,,,,,,['90+4&rsquor;|2:2|Sulley Muntari'],"['46&rsquor;|0:0|Shkodran Mustafi|for Jérôme Boateng', '69&rsquor;|1:2|Bastian Schweinsteiger|for Sami Khedira', '69&rsquor;|1:2|Miroslav Klose|for Mario Götze']","['52&rsquor;|1:0|Jordan Ayew|for Kevin-Prince Boateng', '72&rsquor;|2:2|Wakaso|for Christian Atsu', '78&rsquor;|2:2|Emmanuel Agyemang-Badu|for Mohammed Rabiu']"
Nigeria,Bosnia and Herzegovina,1,,,0,,,Stephen Keshi,,Safet Sušić,,40499,"Arena Pantanal, Cuiabá",Peter O'Leary (Referee) · Jan-Hendrik Hintz (AR1) · Mark Rule (AR2) · Roberto Moreno (4th),Group stage,2014-06-21,1–0,Peter O'Leary,,Brazil,2014,Peter Odemwingie · 29,,['29&rsquor;|1:0|Peter Odemwingie|Assist:|Emmanuel Emenike'],,,,,,,,,,,,,,,,['81&rsquor;|1:0|John Obi Mikel'],['6&rsquor;|0:0|Haris Medunjanin'],"['65&rsquor;|1:0|Shola Ameobi|for Ahmed Musa', '75&rsquor;|1:0|Ejike Uzoenyi|for Michael Babatunde']","['57&rsquor;|1:0|Vedad Ibišević|for Izet Hajrović', '58&rsquor;|1:0|Sejad Salihović|for Senad Lulić', '64&rsquor;|1:0|Tino-Sven Sušić|for Haris Medunjanin']"
